names,stars,dates,clicks,reviews
Karthiga Karthi,3,2021-03-11,509,Can u suggest more posts in explore section. I'm getting repeated post from the time of using this app. When it comes to data usage it works in low network coverage. It's very nice.. So pls solve the repeated suggestion of posts.
GiMa Gon,2,2021-02-20,85,"EDIT: I now gave 2 stars because I can't configure the settings to not save pictures or videos that I post from my device. Aside from this, the news feed is not loading. It is atill stuck on the same feed everyday."
Aditya Shekhar,5,2021-03-05,348,This is good if you want to get over from your addiction for instagram .. as it has less features it won't allow you to use this for longer periods. It was helpful for me atleast.
Joel Jeshurun,5,2021-03-03,62,"I want to thank the devs for this app. I have been trying to not use ig, so i deleted it but at times I just want to check some post and stories and I have been doing that through a browser instead, this app gives the browser experience for me and it is a good alternative if you are just looking to check out some things although I would not recommend you use it as a direct alternative to the original as the features in the original are much better. Nevertheless, it served my purpose of use!"
Umar Muhammad,5,2021-04-05,7,This is a good app i like it but u did nkt add some features in story like polls music and so on
Ahnaf Alim,3,2021-04-19,2,Not lite at all! UI feels like a rock climber clinging for dear life!
Sabio Jbp,1,2021-04-01,5,Hope to upload more than 1 photos at same time and will be able to edit as well. Ilooking forward for this upgrade.
M Atif,3,2021-02-04,839,The app is nice but there r some features missing which were there in the original instagram like the ' write a text ' option is missing in story and voice message icon is also missing and the reels icon is also missing so thats why 3 stars
Lalit Sharma,3,2021-04-06,4,This is nice app but music is not add in our story in this app so I request the devlopers please fix this problem
Ketan Thosani,3,2021-03-31,52,"App is good,but I cant send directly photos from whats app to insta lite.add video call option in message chat."
md shamim,4,2021-03-15,48,its good..easy to use nd less internet consuming..but for one thing i deducted that one star is that it doesn't hv reels feature..i'll rate it 5 only after i get reel feature in this lite version... waiting for the next update..
MEGHA RANI,2,2021-02-15,65,"Why can't we able to zoom photos in this app, also editing features in display picture is not there. I think, besides consuming less data, nothing is good in lite version."
Daniil Ulanov,1,2021-03-18,31,Doesn't allow to post pictures unless I give access to microphone and camera. Even if I want just to post images from gallery. Seems like a bug or is it even intentional...
Luqman Saidin,5,2021-03-19,46,Like it.....really light for phone with small storage....i think it's okay for the certain time is have a limited feature for keep this app light....but i think facebook lite is still more convenient than this..... Kepp updating!!
Anniekhan,1,2021-02-22,48,Thanks for updating but i have some problems in insta gram lite 1. Plz add the story maker or add music section in sticker for story 2. We cant crop any pic in story so plz add this also features 3. In messages section sticker and gifs are not visible i😅 i wish you add this system 4.if we mention anyone in post we cant properly mention 😔 Plz do that if u can otherwise you complete my only 1st wish 😐plz plz accept my review 😶 Thanku .....😊
Sid Tribhuvan,2,2021-04-08,5,The reels option is not in my app i tried many ways to find it but it does not helped i also tried to delete this app then i have reinstalled it but it does not worked so help me regarding this problem
Afsal Sam,2,2021-03-14,63,It is easy to use compared to chrome extension but it had problem that when I followed hash tag it doesn't show in main page and unfollowed hash tag shows. Please solve the problem as soon as possible.
Muhammad Umer,4,2021-04-22,0,Hii... i love this app all over but.. now the masseges are not loading plzz solve this .. its causing problems
Chrisma Cabansag,1,2021-04-13,3,I love it but please fix the camera with filters like the real instagram ok
Dothan chimutu,3,2021-02-27,46,Nice app. But a little bit of work needs to be done to pausing the videos initially just like on the website and facebook lite. It would save more data.
kumar Shanu,5,2021-03-17,98,It's such an wonderful app!It's performance is mind-blowing... It also uses less internet and work efficiently! It is the inter-mediatery between me and some1else!!
History Events Today,1,2021-04-19,1,Still showing 24 hours old posts even after refreshing it 100 of times.. app does not updating posts..
Muhammad Fidhaan,4,2021-03-18,80,"I think it have need lot of improvement. But if we consider this app as lite version, it is ok. But I want more features of Instagram like dark theme. That's all."
